cod_item,periodo,mao_de_obra,materia_prima,gasto_geral
104,03/2021,977.71,2.43,152.3
104,04/2021,183.2,803.18,317.58
104,05/2021,564.77,600.16,371.6
104,06/2021,980.5,837.15,252.29
104,07/2021,569.22,671.0,12.65
104,08/2021,895.85,448.03,9.35
104,09/2021,284.97,468.28,126.16
104,10/2021,441.1,412.61,2.23
104,11/2021,370.56,775.08,55.53
104,12/2021,69.12,38.38,51.76
104,01/2022,496.23,1428.2,164.74
104,02/2022,417.49,1038.27,244.24
104,03/2022,277.89,1402.49,481.25
104,04/2022,432.04,576.63,201.55
104,05/2022,422.92,5.43,217.58
104,06/2022,385.63,526.07,263.46
104,07/2022,124.5,1217.08,202.51
104,08/2022,445.81,577.36,231.34
104,09/2022,713.57,1408.54,426.08
104,10/2022,170.48,670.79,203.64
104,11/2022,661.73,895.73,2.65
104,12/2022,180.49,20.93,19.37
104,01/2023,649.7,589.08,335.18
104,02/2023,514.89,322.63,156.81
104,03/2023,513.36,400.04,273.15
104,04/2023,824.78,1038.2,422.71
104,05/2023,904.9,1295.46,321.63
104,06/2023,156.03,1495.83,381.18
104,07/2023,520.29,1410.57,81.53
105,01/2021,560.99,667.31,497.53
105,02/2021,182.57,1250.3,377.59
105,03/2021,217.15,990.5,377.69
105,04/2021,847.71,1112.73,209.89
105,05/2021,177.39,889.74,221.42
105,06/2021,711.17,826.79,372.9
105,07/2021,673.14,891.8,213.37
105,08/2021,839.48,472.96,395.85
105,09/2021,946.49,892.93,247.61
105,10/2021,328.05,82.5,217.91
105,11/2021,596.37,1488.3,184.3
105,12/2021,526.04,632.82,34.79
105,01/2022,361.01,1452.49,244.14
105,02/2022,684.23,568.8,111.22
105,03/2022,773.44,516.49,36.65
105,04/2022,675.1,114.26,370.45
105,05/2022,979.34,929.24,364.27
105,06/2022,896.56,681.16,317.9
105,07/2022,316.17,1069.92,60.02
105,08/2022,46.03,1209.09,45.75
105,09/2022,628.16,208.26,82.95
105,10/2022,314.62,1127.5,241.69
105,11/2022,980.45,897.51,103.36
105,12/2022,656.89,235.62,102.02
105,01/2023,935.39,281.01,328.97
105,02/2023,803.73,617.17,37.88
105,03/2023,409.36,303.43,129.45
105,04/2023,499.01,1239.07,338.7
105,05/2023,841.9,438.45,299.44
105,06/2023,962.78,1263.26,98.73
105,07/2023,854.88,1167.98,300.05
106,01/2021,942.51,622.8,468.34
106,02/2021,279.04,1195.61,34.36
106,03/2021,106.02,1370.29,82.73
106,04/2021,840.77,1037.85,172.22
106,05/2021,464.67,1239.12,428.89
106,06/2021,114.69,389.56,478.97
106,07/2021,382.34,1314.53,119.35
106,08/2021,743.54,542.99,30.65
106,09/2021,507.98,284.64,96.18
106,10/2021,552.04,332.53,353.3
106,11/2021,582.06,966.69,250.45
106,12/2021,798.36,288.41,158.76
106,01/2022,881.05,1118.44,343.04
106,02/2022,874.83,277.44,195.54
106,03/2022,78.91,1319.5,443.36
106,04/2022,572.85,1438.94,180.3
106,05/2022,662.65,833.88,376.75
106,06/2022,908.19,1111.23,321.34
106,07/2022,382.01,868.4,191.38
106,08/2022,45.23,1048.75,136.88
106,09/2022,539.99,987.7,178.63
106,10/2022,827.04,1002.88,467.81
106,11/2022,345.34,1294.59,88.12
106,12/2022,395.57,302.9,114.47
106,01/2023,856.82,1250.47,33.83
106,02/2023,181.49,1044.46,86.96
106,03/2023,351.54,974.76,371.95
106,04/2023,412.23,87.13,117.0
106,05/2023,832.98,500.31,447.49
106,06/2023,621.44,919.18,207.52
106,07/2023,883.48,1381.01,85.02
107,01/2021,669.54,895.28,171.52
107,02/2021,193.93,1225.78,146.74
107,03/2021,66.72,145.95,173.04
107,04/2021,953.38,1152.26,275.36
107,05/2021,906.57,563.06,5.7
107,06/2021,811.15,1413.48,236.61
107,07/2021,833.28,975.58,330.18
107,08/2021,338.09,577.72,434.91
107,09/2021,418.72,495.43,307.06
107,10/2021,94.79,639.29,49.17
107,11/2021,389.81,916.7,152.9
107,12/2021,804.81,186.88,407.98
107,01/2022,656.52,340.06,327.05
107,02/2022,898.7,1229.87,64.23
107,03/2022,74.45,375.61,290.78
107,04/2022,190.73,592.71,256.22
107,05/2022,911.66,141.92,114.35
107,06/2022,931.12,1387.57,382.8
107,07/2022,145.95,948.67,94.51
107,08/2022,479.13,9.87,464.62
107,09/2022,868.59,1270.67,107.75
107,10/2022,91.37,213.18,309.46
107,11/2022,438.11,70.03,332.04
107,12/2022,325.0,374.61,346.87
107,01/2023,435.58,726.82,200.48
107,02/2023,865.2,1081.18,296.66
107,03/2023,123.05,422.35,496.73
107,04/2023,712.99,719.79,36.68
107,05/2023,792.76,491.12,359.04
107,06/2023,113.87,1485.3,318.57
107,07/2023,688.06,453.83,21.34
108,01/2021,166.38,25.28,408.69
108,02/2021,786.69,1126.82,239.78
108,03/2021,597.85,1412.22,153.27
108,04/2021,845.29,821.5,57.68
108,05/2021,500.39,616.52,394.22
108,06/2021,5.33,1038.22,313.75
108,07/2021,868.94,1341.35,232.03
108,08/2021,793.0,65.22,74.19
108,09/2021,499.47,319.56,385.03
108,10/2021,53.78,501.7,468.03
108,11/2021,579.15,647.73,201.7
108,12/2021,959.86,326.21,411.6
108,01/2022,142.49,1169.35,449.65
108,02/2022,358.94,199.02,262.74
108,03/2022,611.86,231.54,182.6
108,04/2022,892.87,775.44,269.96
108,05/2022,37.94,670.57,354.57
108,06/2022,11.36,1042.51,211.73
108,07/2022,283.29,1080.09,106.38
108,08/2022,55.6,987.3,203.36
108,09/2022,836.91,1396.73,327.05
108,10/2022,166.46,451.89,351.24
108,11/2022,144.1,74.26,227.29
108,12/2022,883.49,736.94,486.09
108,01/2023,500.56,315.53,337.67
108,02/2023,584.34,1227.78,437.42
108,03/2023,593.54,190.9,109.7
108,04/2023,327.57,1330.93,4.25
108,05/2023,837.45,794.95,281.59
108,06/2023,808.99,421.07,9.47
108,07/2023,632.0,221.75,301.72
109,01/2021,959.09,183.17,160.44
109,02/2021,70.58,1230.8,84.31
109,03/2021,31.26,864.98,440.74
109,04/2021,631.49,1063.41,397.77
109,05/2021,197.02,859.55,99.05
109,06/2021,371.66,258.15,189.96
109,07/2021,205.6,557.4,237.04
109,08/2021,445.1,290.85,223.78
109,09/2021,956.15,1434.58,438.03
109,10/2021,768.38,1052.25,306.4
109,11/2021,916.22,1173.79,10.77
109,12/2021,431.0,485.71,221.36
109,01/2022,296.35,104.28,431.1
109,02/2022,914.79,56.19,205.38
109,03/2022,822.58,1391.76,182.76
109,04/2022,620.82,773.5,344.51
109,05/2022,159.94,651.68,469.67
109,06/2022,474.99,773.78,470.89
109,07/2022,960.81,1325.89,221.38
109,08/2022,662.11,234.64,429.63
109,09/2022,685.12,219.95,180.37
109,10/2022,192.03,344.94,107.65
109,11/2022,307.38,1137.23,169.75
109,12/2022,60.16,733.64,427.69
109,01/2023,322.17,734.28,336.96
109,02/2023,1.2,595.96,298.67
109,03/2023,878.29,839.08,20.08
109,04/2023,776.09,883.46,421.13
109,05/2023,565.62,1241.24,104.63
109,06/2023,956.91,276.48,318.88
109,07/2023,955.63,153.33,92.41
110,01/2021,718.3,1110.62,220.35
110,02/2021,449.99,887.94,429.3
110,03/2021,118.59,1372.44,461.37
110,04/2021,153.73,316.01,281.89
110,05/2021,781.15,840.15,484.05
110,06/2021,770.5,61.09,325.48
110,07/2021,630.52,846.4,324.53
110,08/2021,236.76,1263.24,209.81
110,09/2021,983.0,638.81,1.33
110,10/2021,745.64,940.54,239.1
110,11/2021,365.8,56.69,260.33
110,12/2021,419.36,1441.87,22.86
110,01/2022,108.2,588.78,152.88
110,02/2022,142.42,1357.52,498.15
110,03/2022,621.6,757.86,453.45
110,04/2022,712.57,403.39,106.36
110,05/2022,278.67,1499.11,406.08
110,06/2022,108.08,293.94,21.68
110,07/2022,256.59,364.13,35.38
110,08/2022,84.87,947.7,400.57
110,09/2022,151.44,782.26,239.59
110,10/2022,494.92,578.55,197.11
110,11/2022,356.52,17.95,146.43
110,12/2022,369.98,630.18,43.8
110,01/2023,34.0,1232.7,59.7
110,02/2023,124.19,230.59,189.4
110,03/2023,187.02,1051.27,488.16
110,04/2023,128.57,168.3,352.73
110,05/2023,805.66,754.13,340.75
110,06/2023,932.6,150.22,30.86
110,07/2023,976.2,801.7,462.79
111,01/2021,817.91,973.87,74.63
111,02/2021,42.97,64.24,167.94
111,03/2021,585.55,303.13,240.89
111,04/2021,923.06,1010.89,129.49
111,05/2021,290.73,183.37,20.66
111,06/2021,271.42,1335.61,98.34
111,07/2021,765.11,1394.69,155.81
111,08/2021,967.61,135.32,453.35
111,09/2021,464.62,224.86,291.1
111,10/2021,795.98,1183.17,127.6
111,11/2021,347.52,1203.69,415.25
111,12/2021,736.88,1005.88,139.0
111,01/2022,419.96,1287.73,394.15
111,02/2022,603.16,13.24,91.65
111,03/2022,93.36,690.54,183.0
111,04/2022,517.45,765.82,109.99
111,05/2022,26.34,159.93,205.94
111,06/2022,322.36,267.02,130.06
111,07/2022,932.55,902.47,343.58
111,08/2022,373.32,726.2,226.02
111,09/2022,763.15,500.22,4.04
111,10/2022,697.38,484.66,59.9
111,11/2022,710.32,103.01,355.5
111,12/2022,580.56,204.9,176.66
111,01/2023,808.28,1411.66,275.31
111,02/2023,15.93,1368.29,294.96
111,03/2023,368.74,1396.03,60.68
111,04/2023,640.28,1450.69,465.95
111,05/2023,653.45,1156.65,483.74
111,06/2023,502.55,661.79,412.9
111,07/2023,250.17,1459.45,192.77
112,01/2021,377.37,618.63,67.26
112,02/2021,449.72,611.19,296.79
112,03/2021,286.37,597.43,142.13
112,04/2021,242.05,589.75,292.03
112,05/2021,208.16,881.6,215.24
112,06/2021,745.34,701.15,214.83
112,07/2021,719.77,360.76,370.48
112,08/2021,921.32,1311.35,220.2
112,09/2021,52.12,387.29,175.4
112,10/2021,930.24,930.85,64.8
112,11/2021,136.37,597.09,20.94
112,12/2021,753.1,949.42,253.09
112,01/2022,219.77,36.29,451.26
112,02/2022,753.13,1234.35,456.42
112,03/2022,190.33,246.54,468.18
112,04/2022,644.91,146.99,101.52
112,05/2022,821.28,1217.1,383.21
112,06/2022,21.34,1178.77,155.74
112,07/2022,575.04,903.27,39.24
112,08/2022,146.35,147.6,411.08
112,09/2022,13.9,92.14,393.09
112,10/2022,951.65,381.97,432.92
112,11/2022,634.73,984.7,397.86
112,12/2022,996.65,1118.73,204.12
112,01/2023,133.24,785.57,210.75
112,02/2023,685.24,815.44,94.14
112,03/2023,58.39,1228.25,476.02
112,04/2023,843.09,678.08,164.98
112,05/2023,339.38,1068.76,94.62
112,06/2023,50.78,1496.26,489.65
112,07/2023,132.5,127.36,180.57
113,01/2021,102.01,1178.16,485.74
113,02/2021,139.76,984.87,228.97
113,03/2021,153.12,214.74,113.17
113,04/2021,425.97,248.06,347.97
113,05/2021,646.27,1213.7,450.86
113,06/2021,466.21,381.48,431.07
113,07/2021,863.92,442.39,430.09
113,08/2021,741.22,1121.37,228.98
113,09/2021,763.17,890.07,364.98
113,10/2021,447.3,188.73,175.28
113,11/2021,52.39,856.47,94.58
113,12/2021,97.44,605.32,239.28
113,01/2022,709.67,377.19,33.77
113,02/2022,313.28,1185.85,386.28
113,03/2022,293.39,482.31,75.06
113,04/2022,240.07,1446.93,79.5
113,05/2022,994.06,836.91,315.24
113,06/2022,990.44,1085.1,143.82
113,07/2022,855.66,25.76,426.86
113,08/2022,22.05,818.43,316.15
113,09/2022,972.41,462.8,103.11
113,10/2022,813.8,891.91,447.07
113,11/2022,696.98,203.57,308.25
113,12/2022,624.45,353.4,216.44
113,01/2023,313.54,151.46,289.37
113,02/2023,580.69,415.43,219.13
113,03/2023,545.26,647.12,288.73
113,04/2023,783.27,1368.22,382.86
113,05/2023,690.6,1366.14,22.95
113,06/2023,699.75,249.73,231.1
113,07/2023,354.34,70.07,422.3
114,01/2021,247.26,465.13,444.42
114,02/2021,954.32,573.94,64.08
114,03/2021,266.59,792.67,68.23
114,04/2021,394.56,731.02,438.13
114,05/2021,318.47,312.06,432.97
114,06/2021,174.31,197.85,22.49
114,07/2021,160.87,916.57,450.94
114,08/2021,372.65,1202.2,469.55
114,09/2021,27.09,685.58,310.98
114,10/2021,899.86,126.04,404.69
114,11/2021,910.33,1264.42,259.74
114,12/2021,387.74,708.33,410.61
114,01/2022,651.93,298.62,199.0
114,02/2022,884.49,23.35,39.17
114,03/2022,589.05,832.97,347.97
114,04/2022,627.18,517.49,450.92
114,05/2022,389.86,31.48,4.82
114,06/2022,645.58,141.53,316.08
114,07/2022,633.52,507.3,62.59
114,08/2022,512.98,336.99,451.52
114,09/2022,149.07,808.2,110.41
114,10/2022,672.34,230.8,149.99
114,11/2022,686.04,1325.4,297.05
114,12/2022,1.44,1122.04,100.87
114,01/2023,640.34,973.31,493.51
114,02/2023,748.99,661.6,485.09
114,03/2023,548.92,425.86,203.14
114,04/2023,181.49,723.91,371.09
114,05/2023,361.45,1437.26,261.58
114,06/2023,129.66,338.13,487.98
114,07/2023,931.21,482.3,302.91
115,01/2021,145.27,740.87,220.7
115,02/2021,78.37,639.02,35.12
115,03/2021,504.41,573.54,256.5
115,04/2021,279.23,1238.21,175.07
115,05/2021,175.82,65.25,136.3
115,06/2021,590.8,1249.85,227.19
115,07/2021,577.03,164.1,312.03
115,08/2021,559.79,553.76,54.33
115,09/2021,685.94,196.71,301.88
115,10/2021,306.75,1398.82,186.3
115,11/2021,371.95,1028.14,322.32
115,12/2021,419.82,1062.18,334.32
115,01/2022,480.4,943.73,314.39
115,02/2022,962.3,1465.94,275.56
115,03/2022,450.77,250.44,199.36
115,04/2022,599.29,444.38,400.15
115,05/2022,146.06,407.67,325.02
115,06/2022,136.87,83.91,185.25
115,07/2022,175.63,952.87,373.34
115,08/2022,179.21,644.56,188.28
115,09/2022,682.16,921.13,268.73
115,10/2022,133.04,320.62,177.19
115,11/2022,877.0,1136.48,459.11
115,12/2022,591.91,1167.89,194.15
115,01/2023,334.09,254.34,25.61
115,02/2023,790.54,119.65,391.22
115,03/2023,473.23,872.8,247.72
115,04/2023,34.4,32.44,331.04
115,05/2023,984.08,1154.56,43.17
115,06/2023,319.29,10.75,318.19
115,07/2023,118.4,310.1,318.86
116,01/2021,92.73,1183.98,157.93
116,02/2021,824.75,247.39,320.31
116,03/2021,900.99,729.32,92.96
116,04/2021,104.85,571.97,478.27
116,05/2021,751.09,1203.48,471.73
116,06/2021,933.57,368.53,487.65
116,07/2021,601.07,533.7,373.76
116,08/2021,250.41,1401.67,225.39
116,09/2021,917.53,624.33,100.89
116,10/2021,642.36,355.82,246.43
116,11/2021,321.85,823.65,435.43
116,12/2021,908.29,1367.13,255.26
116,01/2022,287.97,620.48,464.67
116,02/2022,997.65,339.36,242.15
116,03/2022,466.97,157.21,46.66
116,04/2022,549.65,862.75,229.82
116,05/2022,723.41,1439.82,462.36
116,06/2022,584.21,419.7,425.45
116,07/2022,725.95,246.67,338.23
116,08/2022,383.67,175.62,93.62
116,09/2022,998.66,788.73,224.35
116,10/2022,515.08,280.13,289.2
116,11/2022,816.48,432.51,211.97
116,12/2022,785.86,1149.5,14.62
116,01/2023,297.27,1258.64,261.76
116,02/2023,482.39,1383.35,255.22
116,03/2023,409.52,936.19,241.91
116,04/2023,745.99,780.71,374.44
116,05/2023,791.13,674.81,66.07
116,06/2023,382.65,1494.04,6.55
116,07/2023,245.81,531.7,318.7
117,01/2021,30.91,562.73,110.14
117,02/2021,80.86,384.11,348.25
117,03/2021,506.04,207.48,327.19
117,04/2021,448.68,851.48,191.1
117,05/2021,167.7,428.98,423.12
117,06/2021,393.33,187.76,237.09
117,07/2021,663.2,565.36,229.72
117,08/2021,826.82,792.67,467.41
117,09/2021,945.42,82.0,59.28
117,10/2021,439.66,664.07,300.54
117,11/2021,221.05,70.52,451.72
117,12/2021,100.93,842.13,279.9
117,01/2022,933.89,363.34,288.1
117,02/2022,446.33,868.87,472.93
117,03/2022,294.27,472.14,130.09
117,04/2022,985.85,538.02,391.55
117,05/2022,415.32,901.89,316.71
117,06/2022,900.41,782.73,167.01
117,07/2022,787.27,641.67,373.76
117,08/2022,432.67,860.9,243.13
117,09/2022,181.36,1472.77,143.35
117,10/2022,427.89,201.19,253.88
117,11/2022,336.53,326.67,477.2
117,12/2022,854.43,755.15,399.17
117,01/2023,610.24,1138.04,322.78
117,02/2023,110.08,77.84,333.52
117,03/2023,638.53,1029.14,422.58
117,04/2023,641.97,31.01,206.32
117,05/2023,790.81,830.26,278.56
117,06/2023,570.86,1236.0,82.68
117,07/2023,219.1,820.96,202.88
118,01/2021,729.29,368.53,77.68
118,02/2021,129.4,135.59,479.41
118,03/2021,516.63,545.11,488.03
118,04/2021,474.72,433.26,300.04
118,05/2021,834.6,1164.07,250.96
118,06/2021,558.1,220.3,475.46
118,07/2021,793.58,223.07,92.87
118,08/2021,102.03,992.52,118.64
118,09/2021,349.84,593.2,163.79
118,10/2021,138.68,233.67,395.33
118,11/2021,529.48,1186.36,148.7
118,12/2021,538.41,86.41,88.92
118,01/2022,482.92,402.05,129.13
118,02/2022,790.64,446.42,472.82
118,03/2022,870.13,1404.69,75.74
118,04/2022,656.63,24.29,351.39
118,05/2022,376.64,618.95,257.87
118,06/2022,950.62,932.85,383.65
118,07/2022,592.99,835.08,351.57
118,08/2022,659.11,114.46,308.08
118,09/2022,851.95,890.35,471.54
118,10/2022,296.31,310.85,40.94
118,11/2022,468.27,574.34,178.11
118,12/2022,247.85,690.45,216.4
118,01/2023,100.61,52.04,443.71
118,02/2023,130.87,825.94,376.75
118,03/2023,866.02,956.23,4.22
118,04/2023,668.76,592.77,203.99
118,05/2023,673.05,1188.27,8.03
118,06/2023,621.9,1473.17,38.15
118,07/2023,108.41,1320.15,350.16
119,01/2021,146.4,1319.49,237.27
119,02/2021,421.62,238.51,348.57
119,03/2021,712.48,573.01,275.31
119,04/2021,554.45,631.59,30.56
119,05/2021,495.67,985.09,96.07
119,06/2021,732.88,273.3,419.16
119,07/2021,96.46,115.23,21.24
119,08/2021,473.02,1161.13,13.96
119,09/2021,17.72,564.04,242.77
119,10/2021,291.02,564.21,340.83
119,11/2021,883.63,152.49,180.7
119,12/2021,980.1,1180.67,266.83
119,01/2022,219.99,1236.45,132.25
119,02/2022,588.34,832.0,90.45
119,03/2022,289.56,1404.58,370.27
119,04/2022,987.25,141.3,371.96
119,05/2022,806.64,809.46,232.66
119,06/2022,535.18,1178.94,215.37
119,07/2022,42.01,625.7,48.73
119,08/2022,401.22,1355.75,450.07
119,09/2022,174.9,1020.28,376.32
119,10/2022,389.06,728.12,118.6
119,11/2022,885.93,706.49,152.38
119,12/2022,170.2,390.66,470.38
119,01/2023,223.04,240.85,236.46
119,02/2023,698.65,74.45,487.33
119,03/2023,169.83,689.56,142.96
119,04/2023,760.33,1381.59,413.9
119,05/2023,957.93,13.13,253.81
119,06/2023,434.78,960.55,425.04
119,07/2023,400.2,18.83,17.21
120,01/2021,873.2,858.45,424.85
120,02/2021,289.89,1446.42,307.7
120,03/2021,795.01,386.41,463.57
120,04/2021,810.16,135.6,50.74
120,05/2021,349.99,958.87,411.52
120,06/2021,264.76,583.51,249.12
120,07/2021,483.08,428.4,88.33
120,08/2021,647.96,742.36,309.72
120,09/2021,452.5,1007.99,74.72
120,10/2021,640.64,1487.12,473.2
120,11/2021,402.87,295.63,394.7
120,12/2021,18.09,1386.29,199.93
120,01/2022,196.28,411.02,266.6
120,02/2022,726.73,586.27,497.42
120,03/2022,587.41,1360.74,341.77
120,04/2022,238.59,1058.69,247.52
120,05/2022,186.11,1230.36,79.99
120,06/2022,191.11,2.26,417.88
120,07/2022,775.5,1173.78,359.21
120,08/2022,613.59,850.91,135.18
120,09/2022,447.58,787.39,19.1
120,10/2022,378.73,404.38,482.03
120,11/2022,483.83,1231.35,254.31
120,12/2022,530.75,401.67,402.5
120,01/2023,158.61,1221.49,412.73
120,02/2023,262.89,1154.37,52.15
120,03/2023,7.06,147.68,238.85
120,04/2023,380.37,1125.19,83.37
120,05/2023,641.61,1154.58,257.94
120,06/2023,947.2,384.47,319.52
120,07/2023,381.99,476.14,310.88
121,01/2021,559.09,1159.75,86.47
121,02/2021,945.1,555.44,438.67
121,03/2021,390.24,1078.57,278.72
121,04/2021,470.92,1050.43,291.46
121,05/2021,50.57,1060.08,180.94
121,06/2021,671.03,192.53,242.45
121,07/2021,654.07,1362.86,19.67
121,08/2021,138.14,1285.14,221.97
121,09/2021,751.15,290.79,370.56
121,10/2021,543.38,1278.15,259.62
121,11/2021,521.12,722.67,313.5
121,12/2021,713.65,591.05,166.42
121,01/2022,83.99,985.18,362.22
121,02/2022,366.07,495.35,358.03
121,03/2022,310.44,1434.07,200.63
121,04/2022,77.64,575.59,42.0
121,05/2022,438.3,978.7,342.79
121,06/2022,753.4,458.29,383.36
121,07/2022,776.96,304.56,486.9
121,08/2022,891.39,697.95,391.68
121,09/2022,958.38,962.88,376.14
121,10/2022,403.49,662.76,59.1
121,11/2022,112.71,1147.39,417.95
121,12/2022,310.28,700.96,115.48
121,01/2023,401.85,1320.28,465.5
121,02/2023,758.18,1474.73,368.45
121,03/2023,777.44,1265.82,12.5
121,04/2023,668.01,858.34,173.44
121,05/2023,472.05,635.97,58.91
121,06/2023,145.3,974.47,242.49
121,07/2023,125.09,868.72,460.11
122,01/2021,64.05,14.26,163.25
122,02/2021,573.68,130.31,300.51
122,03/2021,319.61,521.57,355.09
122,04/2021,409.3,566.72,486.04
122,05/2021,136.27,540.82,399.92
122,06/2021,299.57,1100.04,314.7
122,07/2021,224.69,355.24,209.46
122,08/2021,784.3,516.79,59.51
122,09/2021,652.63,1182.32,230.84
122,10/2021,304.22,1226.21,274.77
122,11/2021,202.62,1057.37,189.42
122,12/2021,703.29,160.79,165.01
122,01/2022,258.65,1132.44,166.34
122,02/2022,165.27,1388.35,444.17
122,03/2022,433.58,882.97,12.92
122,04/2022,712.21,927.54,361.97
122,05/2022,118.27,1104.83,46.29
122,06/2022,859.7,1387.26,178.97
122,07/2022,160.63,1446.1,56.76
122,08/2022,988.82,358.3,285.98
122,09/2022,469.64,1335.55,466.59
122,10/2022,998.73,603.0,431.41
122,11/2022,191.44,806.45,251.83
122,12/2022,725.36,1103.35,223.75
122,01/2023,893.38,803.28,122.82
122,02/2023,8.28,953.14,284.91
122,03/2023,675.11,1276.48,439.28
122,04/2023,137.19,632.53,119.86
122,05/2023,262.56,478.9,4.98
122,06/2023,792.82,868.75,15.46
122,07/2023,337.26,117.7,20.0
123,01/2021,864.68,479.29,23.95
123,02/2021,623.58,610.55,451.75
123,03/2021,369.87,525.38,471.47
123,04/2021,318.93,445.72,285.57
123,05/2021,166.44,920.54,461.84
123,06/2021,444.72,445.46,92.8
123,07/2021,472.03,43.09,364.77
123,08/2021,257.5,940.36,272.47
123,09/2021,703.27,568.26,496.2
123,10/2021,448.79,201.71,439.68
123,11/2021,481.72,715.9,249.83
123,12/2021,856.91,1406.44,487.92
123,01/2022,997.46,898.89,21.42
123,02/2022,809.64,370.21,470.97
123,03/2022,645.93,337.39,379.44
123,04/2022,986.93,1367.48,445.01
123,05/2022,467.83,131.29,60.42
123,06/2022,388.71,298.88,114.59
123,07/2022,25.28,1201.06,139.98
123,08/2022,147.05,1006.24,68.05
123,09/2022,578.33,1339.15,92.39
123,10/2022,15.93,687.0,364.34
123,11/2022,356.25,131.73,314.36
123,12/2022,619.03,529.72,285.69
123,01/2023,972.87,1004.3,315.63
123,02/2023,910.17,337.69,76.69
123,03/2023,784.76,717.45,203.56
123,04/2023,988.76,1364.86,163.8
123,05/2023,641.16,22.84,23.81
123,06/2023,677.37,1235.43,444.58
123,07/2023,334.04,931.68,253.17
124,01/2021,14.52,1207.07,131.63
124,02/2021,587.7,310.01,298.69
124,03/2021,187.2,614.37,105.55
124,04/2021,74.12,164.57,118.47
124,05/2021,781.81,535.71,144.11
124,06/2021,664.83,822.05,439.87
124,07/2021,67.55,425.26,493.88
124,08/2021,649.45,515.69,333.16
124,09/2021,175.16,1380.85,131.81
